This is a list of organizations (mostly non-profit) whose missions I support
and that I believe are helpful in today's world.

Gandi               gandi.net
GitLab              gitlab.com
Mozilla             mozilla.org
NewDream            newdream.org
ProtonMail          protonmail.com
Red Hat             redhat.com
Sirimangalo         sirimangalo.org
suckless.org        suckless.org
Story of Stuff      storyofstuff.org
Time Well Spent     timewellspent.io
Creative Commons                creativecommons.org
Electronic Frontier Foundation  eff.org
Free Software Foundation        fsf.org
QuestionCopyright.org           questioncopyright.org
Software Freedom Conservancy    sfconservancy.org
Wikimedia Foundation            wikimediafoundation.org
